OBJECTID,FID_J26E9A6B5ECFE4F988DA8AC7353,GEOID10,,CT10,Fips1,Fips,City,treecanopy,CTBG10,AreaSqMil,LABEL,FIP10,FIP10RV,CDP_NAME,CITYNAME,Common Name,,Shape__Area,Shape__Length,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_Pv_P,TC_P_P,TC_Pi_P,FID_L7City_Boundary,CITY,AnalysisArea
189,862,60371286011,6037,128601,6037128601,06037128601,Sherman Oaks,25.33598325,1286011,0.0992,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Sherman Oaks,875,376497.7617,2666.649546,700945.3125,219614.0625,2766600,564004.6875,783618.75,7.93804896,28.32425179,20.38620283,1,IN,0.09924218
190,863,60371286021,6037,128602,6037128602,06037128602,Sherman Oaks,31.13360172,1286021,0.0938,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Sherman Oaks,876,355933.6836,2920.682093,814570.3125,373443.75,2616370.313,407826.5625,781270.3125,14.27335222,29.8608461,15.58749389,1,IN,0.09382815
191,864,60371286022,6037,128602,6037128602,06037128602,Sherman Oaks,27.44080214,1286022,0.0938,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Sherman Oaks,877,355825.6445,2920.391819,717370.3125,365596.875,2614246.875,448804.6875,814401.5625,13.98478768,31.15243515,17.16764747,1,IN,0.09380499
192,865,60371286023,6037,128602,6037128602,06037128602,Sherman Oaks,33.18442306,1286023,0.2503,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Sherman Oaks,878,949477.6953,3897.538673,2315882.813,990112.5,6978825,1257539.063,2247651.563,14.18738111,32.2067334,18.01935229,1,IN,0.2503375
193,866,60371288021,6037,128802,6037128802,06037128802,Sherman Oaks,19.36759053,1288021,0.1252,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Sherman Oaks,879,474731.6641,2925.765512,675885.9375,670696.875,3489778.125,629985.9375,1300682.813,19.21889733,37.27121799,18.05232066,1,IN,0.12516689
194,867,60372722022,6037,272202,6037272202,06037272202,Mar Vista,12.64691834,2722022,0.0539,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Mar Vista,880,203470.0547,1993.618937,189900,139781.25,1501551.563,331987.5,471768.75,9.30912088,31.41875123,22.10963035,1,IN,0.05340927
195,868,60372723022,6037,272302,6037272302,06037272302,Mar Vista,22.70992492,2723022,0.0765,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Mar Vista,881,289091.1641,2230.675364,484495.3125,319078.125,2133407.813,384468.75,703546.875,14.95626495,32.97760845,18.02134349,1,IN,0.07514451
196,869,60372751021,6037,275102,6037275102,06037275102,Barnes City,20.26655686,2751021,0.1874,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Barnes City,882,707758.375,3789.370727,1038178.125,1075289.063,5122617.188,1005862.5,2081151.563,20.99100954,40.62672432,19.63571478,1,IN,0.18712236
197,870,60372752003,6037,275200,6037275200,06037275200,Mar Vista,16.77304399,2752003,0.038,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Mar Vista,883,143364.3242,1751.850323,177384.375,162323.4375,1057556.25,189239.0625,351562.5,15.34891761,33.24291261,17.893995,1,IN,0.03794846
198,871,60372753023,6037,275302,6037275302,06037275302,Mar Vista,28.41427574,2753023,0.1063,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Mar Vista,884,401272.8672,2644.252026,841598.4375,264585.9375,2961885.938,476845.3125,741431.25,8.93302251,25.03240387,16.09938136,1,IN,0.10624938
199,872,60372753114,6037,275311,6037275311,06037275311,Mar Vista,16.51199111,2753114,0.2141,BG 4,44000,44000,Los Angeles,Los Angeles,LA City - Mar Vista,885,808657.457,3722.991904,927745.3125,1001165.625,5618615.625,1404056.25,2405221.875,17.81872425,42.80808718,24.98936293,1,IN,0.21412649
200,873,60372755001,6037,275500,6037275500,06037275500,Barnes City,16.01366482,2755001,0.0622,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Barnes City,886,234929.9219,1947.427642,275540.625,268185.9375,1720659.375,487434.375,755620.3125,15.58623057,43.91457853,28.32834796,1,IN,0.06219266
201,874,60372755002,6037,275500,6037275500,06037275500,Barnes City,19.29250983,2755002,0.0822,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Barnes City,887,310623.0039,2239.950954,442293.75,367804.6875,2292567.188,605925,973729.6875,16.04335478,42.47333264,26.42997786,1,IN,0.08223749
202,875,60372756033,6037,275603,6037275603,06037275603,Barnes City,17.18691201,2756033,0.1568,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Barnes City,888,592277.3438,3261.516663,751443.75,788653.125,4372185.938,895668.75,1684321.875,18.03795942,38.52356462,20.48560521,1,IN,0.15456003
203,876,60372766032,6037,276603,6037276603,06037276603,Westchester,23.22491266,2766032,0.0837,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,889,316024.5273,2700.493786,542221.875,192656.25,2334656.25,279773.4375,472429.6875,8.25201783,20.23551379,11.98349596,1,IN,0.08373915
204,877,60372766031,6037,276603,6037276603,06037276603,Westchester,18.8842923,2766031,0.0918,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,890,346504.8672,3019.936991,483370.3125,373429.6875,2559642.188,588698.4375,962128.125,14.5891363,37.58838363,22.99924733,1,IN,0.09181289
205,878,60372766041,6037,276604,6037276604,06037276604,Westchester,20.2823667,2766041,0.1846,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,891,696653.8594,4184.866048,1043845.313,888384.375,5146565.625,981253.125,1869637.5,17.26169333,36.3278667,19.06617338,1,IN,0.18459014
206,879,60372766042,6037,276604,6037276604,06037276604,Westchester,18.87373994,2766042,0.1391,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,892,525008.4258,3181.744401,731953.125,834089.0625,3878156.25,864098.4375,1698187.5,21.50736094,43.78852709,22.28116615,1,IN,0.13910668
207,880,60372774002,6037,277400,6037277400,06037277400,Westchester,15.49333874,2774002,0.1417,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,893,534644.3594,3629.097739,612126.5625,1482750,3950901.563,922092.1875,2404842.188,37.52940883,60.86818792,23.33877908,1,IN,0.13968574
208,881,60372780011,6037,278001,6037278001,06037278001,Westchester,13.91449293,2780011,0.1827,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,894,689691.3086,4596.415836,709031.25,933257.8125,5095631.25,1240678.125,2173935.938,18.31486163,42.66274051,24.34787888,1,IN,0.18274235
209,882,60372933061,6037,293306,6037293306,06037293306,Harbor City,26.20293355,2933061,0.0677,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,895,254345.1523,2250.521535,494395.3125,374104.6875,1886793.75,297210.9375,671315.625,19.82753481,35.57970366,15.75216886,1,IN,0.06766209
210,895,60375350013,6037,535001,6037535001,06037535001,Florence/Firestone,10.50762003,5350013,0.0617,BG 3,24477,99037,Florence-Graham,Unincorporated,LA County - Florence/Firestone,908,232815.4609,2455.731543,180534.375,269015.625,1718128.125,537032.8125,806048.4375,15.65748334,46.9143381,31.25685475,1,IN,0.00092337
211,903,60372735021,6037,273502,6037273502,06037273502,Venice,8.18321258,2735021,0.0309,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Venice,916,116736.8125,1802.429456,70523.4375,66825,861806.25,175823.4375,242648.4375,7.75406305,28.15579923,20.40173618,1,IN,0.03091018
212,904,60371096041,6037,109604,6037109604,06037109604,Mission Hills,11.98984419,1096041,0.1599,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Mission Hills,917,607963.5781,3358.953224,534585.9375,678796.875,4458656.25,1289306.25,1968103.125,15.22424778,44.14117202,28.91692424,1,IN,0.159944
213,905,60371096043,6037,109604,6037109604,06037109604,Mission Hills,21.99567808,1096043,0.1674,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Mission Hills,918,636268.2695,3258.306248,1026295.313,822051.5625,4665895.313,1070915.625,1892967.188,17.61830276,40.57028846,22.9519857,1,IN,0.16738343
214,906,60371097001,6037,109700,6037109700,06037109700,Granada Hills,19.03270104,1097001,0.2285,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Granada Hills,919,868549.832,4194.364032,1212314.063,1149314.063,6369637.5,1297659.375,2446973.438,18.04363376,38.41621187,20.37257811,1,IN,0.22849775
215,907,60371097002,6037,109700,6037109700,06037109700,Granada Hills,21.78239475,1097002,0.226,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Granada Hills,920,859217.6484,4774.029192,1372612.5,1105059.375,6301476.563,1475367.188,2580426.563,17.53651488,40.94955423,23.41303935,1,IN,0.2260371
216,910,60375439053,6037,543905,6037543905,06037543905,Carson,10.18372168,5439053,0.1187,BG 3,11530,11530,Carson,Carson,City of Carson,923,446434.3984,2827.189198,337050,839264.0625,3309693.75,756365.625,1595629.688,25.35775591,48.21079556,22.85303965,1,IN,7.76E-05
217,915,60375440021,6037,544002,6037544002,06037544002,Long Beach,16.85834222,5440021,0.2529,BG 1,43000,43000,Long Beach,Long Beach,City of Long Beach,928,951541.4453,6223.408424,1188801.563,1061296.875,7051710.938,2366282.813,3427579.688,15.05020391,48.60635551,33.5561516,1,IN,4.45E-06
218,934,60371954001,6037,195400,6037195400,06037195400,Silverlake,38.44729927,1954001,0.1,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Silverlake,962,378639.0977,3266.260341,1071928.125,642248.4375,2788045.313,225070.3125,867318.75,23.03579625,31.10848831,8.07269206,1,IN,0.10000879
219,935,60371926102,6037,192610,6037192610,06037192610,East Hollywood,15.84208142,1926102,0.0511,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - East Hollywood,963,193578.4375,2015.133976,226223.4375,205875,1427990.625,327375,533250,14.41711146,37.34268213,22.92557068,1,IN,0.0511415
220,936,60371926101,6037,192610,6037192610,06037192610,East Hollywood,12.05086846,1926101,0.0647,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - East Hollywood,964,244919.6016,2022.33504,217476.5625,212357.8125,1804654.688,461137.5,673495.3125,11.76722694,37.31989932,25.55267239,1,IN,0.06470712
221,937,60371927002,6037,192700,6037192700,06037192700,East Hollywood,14.80381626,1927002,0.0799,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - East Hollywood,965,302295.9531,2728.940719,329484.375,311765.625,2225671.875,574326.5625,886092.1875,14.00770835,39.81234599,25.80463764,1,IN,0.07987225
222,938,60371926202,6037,192620,6037192620,06037192620,East Hollywood,11.20189333,1926202,0.0514,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - East Hollywood,966,194413.5156,1814.276132,160410.9375,75571.875,1431998.438,439410.9375,514982.8125,5.27737133,35.96252615,30.68515482,1,IN,0.05136795
223,939,60371925202,6037,192520,6037192520,06037192520,East Hollywood,8.67738306,1925202,0.0592,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - East Hollywood,967,223992.7305,1903.509823,143170.3125,137067.1875,1649925,502059.375,639126.5625,8.30747989,38.73670394,30.42922406,1,IN,0.05918274
224,940,60371926103,6037,192610,6037192610,06037192610,East Hollywood,17.45587602,1926103,0.0445,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - East Hollywood,968,168583.8711,1710.250629,216689.0625,140709.375,1241353.125,325110.9375,465820.3125,11.33516098,37.52520561,26.19004463,1,IN,0.04454066
225,941,60371925101,6037,192510,6037192510,06037192510,East Hollywood,10.94709172,1925101,0.0663,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - East Hollywood,969,250973.9805,2020.456761,202626.5625,110334.375,1850962.5,572217.1875,682551.5625,5.96091898,36.87549383,30.91457485,1,IN,0.06631173
226,942,60371925102,6037,192510,6037192510,06037192510,East Hollywood,9.80427005,1925102,0.0653,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - East Hollywood,970,246986.4414,1991.150445,178425,124706.25,1819870.313,564665.625,689371.875,6.85248004,37.88027478,31.02779473,1,IN,0.06525258
227,943,60371924102,6037,192410,6037192410,06037192410,Hancock Park,12.55658991,1924102,0.0514,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Hancock Park,971,194650.3984,2073.803246,180196.875,125339.0625,1435078.125,353685.9375,479025,8.73395394,33.37971583,24.64576188,1,IN,0.05142556
228,944,60371924104,6037,192410,6037192410,06037192410,Hancock Park,23.13709627,1924104,0.0887,BG 4,44000,44000,Los Angeles,Los Angeles,LA City - Hancock Park,972,335560.5352,2654.336071,571078.125,481246.875,2468235.938,448945.3125,930192.1875,19.49760425,37.68651827,18.18891402,1,IN,0.08865725
229,945,60371924201,6037,192420,6037192420,06037192420,Hancock Park,13.65315998,1924201,0.0555,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Hancock Park,973,210264.1406,1835.012644,211471.875,119939.0625,1548885.938,419203.125,539142.1875,7.74356972,34.80838546,27.06481574,1,IN,0.05555047
230,946,60371924103,6037,192410,6037192410,06037192410,Hancock Park,25.64257635,1924103,0.0501,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Hancock Park,974,189481.8711,2339.493179,357750,222946.875,1395140.625,253195.3125,476142.1875,15.98024393,34.12861607,18.14837214,1,IN,0.05006233
231,947,60371924202,6037,192420,6037192420,06037192420,Hancock Park,11.5277045,1924202,0.0699,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Hancock Park,975,264541.2188,2063.481031,224310.9375,124270.3125,1945842.188,527428.125,651698.4375,6.38645381,33.49184439,27.10539058,1,IN,0.06989608
232,948,60371924101,6037,192410,6037192410,06037192410,Hancock Park,24.92102588,1924101,0.0739,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Hancock Park,976,279735.4336,2432.085483,513646.875,300360.9375,2061098.438,402806.25,703167.1875,14.57285746,34.11613801,19.54328055,1,IN,0.07391022
233,950,60372361005,6037,236100,6037236100,06037236100,Crenshaw,18.51560668,2361005,0.0731,BG 5,44000,44000,Los Angeles,Los Angeles,LA City - Crenshaw,978,276415.2891,2105.149721,377550,545287.5,2039090.625,329245.3125,874532.8125,26.74170011,42.88837395,16.14667384,1,IN,0.07313917
234,951,60372342002,6037,234200,6037234200,06037234200,Crenshaw,13.54215796,2342002,0.0749,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Crenshaw,979,282893.2656,2217.838709,282642.1875,505125,2087128.125,388771.875,893896.875,24.20191621,42.82903691,18.6271207,1,IN,0.0748594
235,953,60371345211,6037,134521,6037134521,06037134521,Canoga Park,15.80595435,1345211,0.1358,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Canoga Park,981,515605.543,3023.035022,598387.5,271504.6875,3785835.938,1197309.375,1468814.063,7.17159148,38.79761529,31.62602381,1,IN,0.13582824
236,954,60371349031,6037,134903,6037134903,06037134903,Canoga Park,13.55188281,1349031,0.2186,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Canoga Park,982,829710.9688,3867.504465,825834.375,443629.6875,6093871.875,1970043.75,2413673.438,7.27993132,39.60820784,32.32827651,1,IN,0.21864207
237,955,60371351131,6037,135113,6037135113,06037135113,Woodland Hills,21.32892119,1351131,0.2485,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Woodland Hills,983,942782.082,4819.15139,1477434.375,755648.4375,6926906.25,2377392.188,3133040.625,10.9088879,45.2300134,34.3211255,1,IN,0.24849908
238,956,60371351141,6037,135114,6037135114,06037135114,Canoga Park,25.18274004,1351141,0.0998,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Canoga Park,984,378721.9297,2531.804221,700551.5625,175176.5625,2781871.875,721659.375,896835.9375,6.29707515,32.23857812,25.94150297,1,IN,0.09981522
239,957,60371351142,6037,135114,6037135114,06037135114,Canoga Park,10.92103751,1351142,0.3905,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Canoga Park,985,1481860.496,5179.389047,1188998.438,644428.125,10887229.69,4144007.813,4788435.938,5.9191194,43.98213388,38.06301448,1,IN,0.39052535
240,958,60371371031,6037,137103,6037137103,06037137103,Woodland Hills,20.83199538,1371031,0.0628,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Woodland Hills,986,238336.3008,1969.516918,364921.875,164868.75,1751737.5,264389.0625,429257.8125,9.41172693,24.5046882,15.09296127,1,IN,0.06283491
241,959,60371371032,6037,137103,6037137103,06037137103,Woodland Hills,29.1485158,1371032,0.2305,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Woodland Hills,987,874543.543,4211.419668,1873448.438,967289.0625,6427251.563,877148.4375,1844437.5,15.04980866,28.69714188,13.64733322,1,IN,0.23054363
242,960,60371390011,6037,139001,6037139001,06037139001,Encino,15.96085173,1390011,0.1062,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Encino,988,402914.8594,3488.914822,472654.6875,606810.9375,2961337.5,309037.5,915848.4375,20.49111044,30.92685104,10.43574061,1,IN,0.10622008
243,961,60371394011,6037,139401,6037139401,06037139401,Tarzana,15.0375633,1394011,0.1977,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Tarzana,989,749919.2305,4195.917347,828956.25,804431.25,5512570.313,1577264.063,2381695.313,14.59267101,43.20480606,28.61213505,1,IN,0.19772112
244,962,60371394012,6037,139401,6037139401,06037139401,Tarzana,12.29277841,1394012,0.1526,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Tarzana,990,578711.2188,3614.307505,522843.75,549885.9375,4253259.375,1102035.938,1651921.875,12.92857757,38.83896394,25.91038637,1,IN,0.1525732
245,963,60371394021,6037,139402,6037139402,06037139402,Tarzana,32.17473292,1394021,0.4269,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Tarzana,991,1619161.547,5546.342304,3829443.75,2465887.5,11902021.88,2064360.938,4530248.438,20.71822356,38.06284752,17.34462396,1,IN,0.42690606
246,964,60371395021,6037,139502,6037139502,06037139502,Encino,18.33163779,1395021,0.2038,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Encino,992,772909.0703,4542.603703,1041468.75,1320750,5681264.063,903121.875,2223871.875,23.24746721,39.14396251,15.89649531,1,IN,0.20380226
247,965,60371288022,6037,128802,6037128802,06037128802,Sherman Oaks,18.04863107,1288022,0.1252,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Sherman Oaks,993,474781.1367,2925.900531,629732.8125,606135.9375,3489089.063,746943.75,1353079.688,17.37232632,38.78031381,21.40798749,1,IN,0.12517994
248,966,60371288023,6037,128802,6037128802,06037128802,Sherman Oaks,22.06847413,1288023,0.1246,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Sherman Oaks,994,472639.6836,2931.491707,766575,363234.375,3473620.313,1003640.625,1366875,10.45693951,39.35015566,28.89321615,1,IN,0.12461535
249,967,60371317021,6037,131702,6037131702,06037131702,Reseda,21.12758655,1317021,0.215,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Reseda,995,816315.2266,3640.339129,1266539.063,783520.3125,5994717.188,1481428.125,2264948.438,13.07017976,37.78240685,24.71222709,1,IN,0.21504515
250,968,60371320011,6037,132001,6037132001,06037132001,Lake Balboa,26.12625799,1320011,0.1551,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Lake Balboa,996,588644.2969,3146.155259,1129514.063,657351.5625,4323290.625,1068257.813,1725609.375,15.2048895,39.91425802,24.70936851,1,IN,0.15511658
251,969,60371320021,6037,132002,6037132002,06037132002,Lake Balboa,23.83912593,1320021,0.1232,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Lake Balboa,997,467478.9883,2895.90905,818620.3125,435642.1875,3433935.938,909914.0625,1345556.25,12.68638074,39.18408131,26.49770057,1,IN,0.1231708
252,970,60371321011,6037,132101,6037132101,06037132101,Lake Balboa,26.26727523,1321011,0.1584,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Lake Balboa,998,601009.1172,3191.179596,1159720.313,777895.3125,4415076.563,973814.0625,1751709.375,17.61906734,39.6756285,22.05656117,1,IN,0.15837499
253,971,60371321013,6037,132101,6037132101,06037132101,Lake Balboa,21.24688772,1321013,0.092,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Lake Balboa,999,348999.6914,2653.636783,544809.375,351168.75,2564184.375,630731.25,981900,13.69514429,38.29287822,24.59773393,1,IN,0.09197452
254,972,60371321022,6037,132102,6037132102,06037132102,Lake Balboa,22.1702084,1321022,0.2115,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Lake Balboa,1000,802985.0859,3779.278183,1307348.438,811237.5,5896870.313,1473693.75,2284931.25,13.75708566,38.7482025,24.99111685,1,IN,0.2115343
255,973,60371321023,6037,132102,6037132102,06037132102,Lake Balboa,19.13023894,1321023,0.2464,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Lake Balboa,1001,935145.9453,3868.308596,1313915.625,763973.4375,6868265.625,2027559.375,2791532.813,11.12323662,40.64392621,29.52068958,1,IN,0.24639108
256,974,60371325011,6037,132501,6037132501,06037132501,Reseda,18.42083789,1325011,0.1483,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Reseda,1002,563025.9531,3111.750472,761892.1875,600440.625,4136034.375,1180659.375,1781100,14.51730258,43.06298832,28.54568575,1,IN,0.14834546
257,975,60371325012,6037,132501,6037132501,06037132501,Reseda,22.12226246,1325012,0.1234,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Reseda,1003,468372.2734,2916.561286,761104.6875,401357.8125,3440446.875,902362.5,1303720.313,11.66586281,37.89392366,26.22806085,1,IN,0.12340632
258,976,60371325021,6037,132502,6037132502,06037132502,Reseda,21.46635755,1325021,0.1351,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Reseda,1004,512714.8984,3116.715745,808593.75,605292.1875,3766795.313,1070564.063,1675856.25,16.06915527,44.49023934,28.42108407,1,IN,0.13511047
259,977,60371325022,6037,132502,6037132502,06037132502,Reseda,18.40559042,1325022,0.1061,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Reseda,1005,402731.5586,2603.442592,544471.875,371995.3125,2958187.5,874153.125,1246148.438,12.57510934,42.12540407,29.55029473,1,IN,0.10612793
260,978,60371340011,6037,134001,6037134001,06037134001,Canoga Park,21.69740204,1340011,0.1271,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Canoga Park,1006,482639.4063,2956.842807,769035.9375,317531.25,3544368.75,949570.3125,1267101.563,8.95875323,35.74971037,26.79095713,1,IN,0.12714384
261,979,60371340012,6037,134001,6037134001,06037134001,Canoga Park,18.69072938,1340012,0.0981,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Canoga Park,1007,372537.2539,2502.090121,511635.9375,308095.3125,2737378.125,932906.25,1241001.563,11.25512437,45.33540877,34.0802844,1,IN,0.09815421
262,980,60371340021,6037,134002,6037134002,06037134002,Winnetka,21.7272515,1340021,0.1296,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Winnetka,1008,491902.8203,3048.300016,785053.125,530029.6875,3613218.75,1147317.188,1677346.875,14.66918347,46.42251109,31.75332763,1,IN,0.12960431
263,981,60371340022,6037,134002,6037134002,06037134002,Winnetka,21.30906635,1340022,0.1613,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Winnetka,1009,612438.4063,3220.149385,958401.5625,615881.25,4497623.438,1202020.313,1817901.563,13.69348187,40.41915887,26.725677,1,IN,0.16133736
264,982,60371344211,6037,134421,6037134421,06037134421,Westhills,29.35126907,1344211,0.8241,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Westhills,1010,3128335.848,7127.516867,6743376.563,5057943.75,22974735.94,4368965.625,9426909.375,22.01524215,41.03163318,19.01639103,1,IN,0.82416157
265,983,60372933062,6037,293306,6037293306,06037293306,Harbor City,23.82780194,2933062,0.1751,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,1011,657923.9688,3717.747385,1162785.938,1047037.5,4879954.688,617343.75,1664381.25,21.4558857,34.10648985,12.65060415,1,IN,0.17246668
266,984,60372933071,6037,293307,6037293307,06037293307,Harbor City,14.82886857,2933071,0.0467,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,1012,175401.5313,2031.3949,192895.3125,128010.9375,1300809.375,380812.5,508823.4375,9.84086831,39.11591101,29.2750427,1,IN,0.04666029
267,985,60372943012,6037,294301,6037294301,06037294301,Wilmington,13.24264823,2943012,0.1013,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Wilmington,1013,380688.1367,2497.636582,373879.6875,538860.9375,2823300,771510.9375,1310371.875,19.08620896,46.41277494,27.32656599,1,IN,0.10125544
268,986,60372944211,6037,294421,6037294421,06037294421,Harbor City,12.39308543,2944211,0.1485,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,1014,557997.8906,4202.214834,512859.375,685335.9375,4138270.313,1221046.875,1906382.813,16.56092729,46.06714082,29.50621353,1,IN,0.14843307
269,987,60372947011,6037,294701,6037294701,06037294701,Wilmington,5.6243095,2947011,0.1041,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Wilmington,1015,391238.3008,3109.618468,163223.4375,308025,2902106.25,1359632.813,1667657.813,10.61384296,57.46370632,46.84986335,1,IN,0.10408845
270,988,60372951031,6037,295103,6037295103,06037295103,Wilmington,22.39950361,2951031,0.1935,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Wilmington,1016,726852.5352,4675.182499,1208221.875,703364.0625,5393967.188,995343.75,1698707.813,13.03982835,31.49273537,18.45290702,1,IN,0.19344575
271,989,60372964012,6037,296401,6037296401,06037296401,San Pedro,22.99105095,2964012,0.121,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,1017,454236.7773,3146.224024,775307.8125,854465.625,3372215.625,472640.625,1327106.25,25.33840418,39.35413383,14.01572964,1,IN,0.12093786
272,990,60372969013,6037,296901,6037296901,06037296901,San Pedro,15.67815459,2969013,0.0953,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,1018,357564.2852,2444.169164,416334.375,532757.8125,2655506.25,830081.25,1362839.063,20.06238217,51.3212523,31.25887013,1,IN,0.09524077
273,991,60372969023,6037,296902,6037296902,06037296902,San Pedro,8.27870102,2969023,0.0397,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,1019,149035.6445,1958.184301,91631.25,236925,1106831.25,290165.625,527090.625,21.40570209,47.62158866,26.21588657,1,IN,0.0396947
274,992,60372972012,6037,297201,6037297201,06037297201,San Pedro,12.24374146,2972012,0.0605,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,1020,227197.793,2067.556537,206606.25,271223.4375,1687443.75,335671.875,606895.3125,16.07303577,35.96536551,19.89232974,1,IN,0.06052694
275,993,60372972023,6037,297202,6037297202,06037297202,San Pedro,12.18993509,2972023,0.0318,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,1021,119266.5742,2207.613642,108014.0625,140357.8125,886092.1875,215718.75,356076.5625,15.84009141,40.18504706,24.34495564,1,IN,0.03177415
276,1005,60372398023,6037,239802,6037239802,06037239802,South Park,12.77919322,2398023,0.0627,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - South Park,1033,236716.8555,1946.392173,223593.75,384932.8125,1749670.313,434306.25,819239.0625,22.00030541,46.82248174,24.82217632,1,IN,0.06271451
277,1006,60372403004,6037,240300,6037240300,06037240300,South Vermont,14.24273546,2403004,0.0417,BG 4,44000,44000,Los Angeles,Los Angeles,LA City - South Vermont,1034,157539.5391,1644.470351,165768.75,188409.375,1163882.813,319795.3125,508204.6875,16.18800217,43.66459252,27.47659035,1,IN,0.04174549
